Opinion_Phrases,Relevant_Words,Sentiment_Expressions,Aspect,Product,Sentiment,Reviews
botched up the direction,"am, exaggerating, found, botched, were",ridiculous,direction,gps,NEGATIVE,"After a ridiculous 10 minute search time (I am not exaggerating) the GPS finally found our destination, but   botched up the direction   once we were in the city.  "
wrong direction,"entered, exited, recalculating, based, started, giving","previous, wrong",direction,gps,NEGATIVE,"On my way, I entered into another parking lot and exited back to a previous road; instead of recalculating based on my orientation and GPS location, it started giving me   wrong direction  .  "
opposite direction,"took, did, use, getting, was, had, pull, allow, pass","dangerous, narrow, opposite, dangerous, steep",direction,gps,NEGATIVE,"The unit took us over roads that we did not use getting there, one of which was actually dangerous  so narrow that you had to pull over to allow a car to pass in the   opposite direction  , dangerous curves, no shoulders, steep dropoffs, and no warning signs.  "
reduced to asking direction,"were, reduced, asking, attempt, help","numerous, different, broken",direction,gps,NEGATIVE,We were   reduced to asking direction   of numerous passersby at different points who could only attempt some broken English to help us.  
incorrect direction,"Do, bother, calling, complain",incorrect,direction,gps,NEGATIVE,Dont bother calling Garmin to complain about   incorrect direction  .  
direction are not first time user friendly,are,"first, friendly",direction,gps,NEGATIVE,the   direction are not first time user friendly  .  
wrong direction,"loses, shows",wrong,direction,gps,NEGATIVE,It loses signal and shows   wrong direction  .  
problems with misdirection,"ordered, read, seem, have, decided, be","later, many",direction,gps,NEGATIVE,"I ordered the 1450 because I read the reviews on the later models, which also seem to have many   problems with misdirection  , and decided this unit would be best.  "
direction are so so wrong,"have, wait, try, go, are",wrong,direction,gps,NEGATIVE,"I have to wait for a while and try again to go through the menu c) And finally, the   direction are so so wrong  !  "
wrong direction,"does, disappear, ten, are, approaching, is, coming, end, going, defeating, owning","long, unfamilliar, wrong",direction,gps,NEGATIVE,"It doesnt disappear for a long time, maybe up to ten seconds at a time, but if you are in unfamilliar territory and approaching a freeway interchange or a turn is coming up you could end up going in the   wrong direction  , defeating the purpose of owning a GPS.  "
different direction,"started, recalculating, tried, send, was, heading",different,direction,gps,NEGATIVE,"It then started recalculating the destination, and often tried to send me off in a completely   different direction  , away from where I was heading.  "
random (and usually wrong) direction,"found, orient, walked","rare, untill, random, wrong",direction,gps,NEGATIVE,On the rare occasion it found signals it couldnt orient untill I walked in any   random (and usually wrong) direction  .  
opposite direction,"put, listed, was, traveling, thought, were",opposite,direction,gps,NEGATIVE,"Example: I put in ""UPS Store,"" it listed 10 locations, 20 miles behind me in the   opposite direction   and none in the direction I was traveling, even thought there were definitely UPS stores in front of me.  "
wrong direction,"alternates, sent, told, make, go, was, driving",wrong,direction,gps,NEGATIVE,"It alternates the road in the middle of the driving, and sent me off in the   wrong direction  , and then it told me to make a Uturn to go back to the road I was driving on from the start.  "
no direction,"used, had, acquiring, had, gave","first, several, due, such, incorrect",direction,gps,NEGATIVE,We used it for the first time in Portland Oregon and several times it had trouble acquiring the satellite and then due to such difficulties we either had   no direction   or it gave us incorrect guidance.  
direction zigzagging,"understand, was, differentiate, have, zigzagging, are, re, be, navigated, find, started, have, directed","More, notable, medieval, major, narrow, charming, larger, main, human",direction,gps,POSITIVE,"More subtly (this I can understand, but it was a notable concern), it could not differentiate between medieval streets and major boulevards: it would have   direction zigzagging   through the narrow streets that are charming when youre on foot, but really shouldnt be navigated by anything larger that a Fiat 500 or Smart car  and subsequently wed find that wed started a block from a main road that a human would have directed us to.  "
direction really loud,"reset, muting, making","own, loud",direction,gps,NEGATIVE,"The volume control would reset on its own, muting calls but making the voicedover   direction really loud  .  "
wrong direction,"had, gave",wrong,direction,gps,NEGATIVE,"I had 4 legs to my journey and on 3 of them, the Garmin gave me   wrong direction  .  "
wrong direction,"see, showed, gave, get",wrong,direction,gps,NEGATIVE,"I could see my destination point on the Garmin (which showed it accurately), yet it gave me the the   wrong direction   to get there.  "
confusing direction,"did, take, was, secure, was","confusing, difficult, piratical",direction,gps,NEGATIVE,did not take toll roads very   confusing direction   it was difficult to secure any where in the car that was piratical!  
incorrect direction,"reloading, took, tested, turned, charged, gave","download, off, incorrect",direction,gps,NEGATIVE,After reloading the info into it which took 30 minutes of download time; we tested it locally and it turned offon even while fully charged and then gave   incorrect direction  .  
opposite direction,"worked, made, wanting, turn, converted, dedicated","frustrating, oneway, opposite, longer, available",direction,gps,NEGATIVE,"It worked some of the time, but also made some of the trip very frustrating by wanting us to turn into oneway streets (in the   opposite direction  ) and occasionally into streets that where no longer available to cars (for example, converted to dedicated tramways).  "
direction is confusing,"is, confusing",worth,direction,gps,POSITIVE,The   direction is confusing   and not worth it.  
opposite direction,"get, recalculate, left",opposite,direction,gps,NEGATIVE,Sometimes Id get off for gas and the GPS would recalculate my route in the   opposite direction   of the interstate that I just left!  
poor direction,"are, get","nice, poor",direction,gps,NEGATIVE,"There are some very nice aspects to this unit, I just couldnt get past the   poor direction  .  "
direction was wrong,"were, directed, make, make, knew, was","many, wrong",direction,gps,NEGATIVE,There were many instances where it directed me to make turns or not make turns when I knew the   direction was wrong  .  
different direction,"spaced, got, confused, started, giving","many, different, few",direction,gps,NEGATIVE,With so many landmarks spaced together it got confused and started giving   different direction   every few seconds.  
"direction, while plenty loud","noticed, was, sounded, had","first, plenty, loud, raspy, sore",direction,gps,NEGATIVE,"The first thing I noticed was that the voice   direction, while plenty loud  , sounded very raspy like the computer had a sore throat.  "
direction got very odd,"approached, is, got","half, odd",direction,gps,NEGATIVE,As we approached the half way point near New York City is where the   direction got very odd  .  
wrong direction,"gave, got",wrong,direction,gps,NEGATIVE,To the units credit it never gave a   wrong direction   and always got me right back onto the highway.  
bad direction,gives,bad,direction,gps,NEGATIVE,It gives   bad direction   for freeway interchanges.  
opposite direction,"was, wanted, go, turn","exact, opposite",direction,gps,NEGATIVE,I was 30 feet from an interstate on ramp and it wanted me to go in the exact   opposite direction   for 2 miles and then turn around.  
direction were inappropriate,"appeared, function, were","major, inappropriate",direction,gps,NEGATIVE,"The unit appeared to function well on the major highways, but in some of the cities and towns,   direction were inappropriate  .  "
wrong direction,"told, turn, leave, found, going, turning",wrong,direction,gps,NEGATIVE,"For example, in Freeport, ME it told us to turn the   wrong direction   to leave town and we found ourselves going down an alley and turning into a parking lot.  "
erroneous direction,"kept, giving, shutting",erroneous,direction,gps,NEGATIVE,This unit kept giving me   erroneous direction   and shutting down.  
direction either too late,giving,late,direction,gps,NEGATIVE,Always giving   direction either too late   or too early.  
wrong direction,"Took, connected, held",wrong,direction,gps,NEGATIVE,"Took me   wrong direction  , never connected or held a charge.  "
worst direction,"has, give",worst,direction,gps,NEGATIVE,This thing has to give the   worst direction   ever.  
direction aroundtown are sometimes laughable,"s, are","aroundtown, laughable",direction,gps,NEGATIVE,Its   direction aroundtown are sometimes laughable  .  
inaccurate direction,"provides, are, permitted, is, leads, estimated, does, account, does, recognize, misses, allows, saving","inaccurate, new, absurd, best",direction,gps,NEGATIVE,"Cons: boots slowly, sometimes provides   inaccurate direction   (like turn where no turns are permitted  and it is not a new road sign), traffic avoidance feature leads to absurd routes and time waste, estimated time of arrival does not account for traffic lights, frequently does not recognise best routes (like misses highway exit that allows for saving 5 minutes.  "
wrong direction,"takes, tells, turn, turn","several, wrong",direction,gps,NEGATIVE,This takes several seconds and often tells me to turn around or turn in the   wrong direction  .  
missed the direction,"missed, resulting, getting, lost","flat, large",direction,gps,NEGATIVE,"), and once it flat out   missed the direction   altogether, resulting in getting lost downtown in a large city.  "
opposite direction,"come, travel","other, typical, opposite",direction,gps,NEGATIVE,"They come into each other like an upside down V from the way I travel, a typical fork from the   opposite direction  .  "
opposite direction,"has, go, need, go, puts, get, get, have, gone, reach","opposite, lesser, direct, lesser, same",direction,gps,NEGATIVE,Sometimes it has me go the   opposite direction   I need to go and puts me on a highway only to get off and get back on a lesser road when I could easily have gone a direct lesser road route to reach the same destination.  
random direction,"lifted, zoom, was","random, longer",direction,gps,NEGATIVE,"When I lifted my finger off the screen, the map would zoom off in a   random direction  , so that the field of interest wasnt on the screen any longer.  "
strange direction,"have, wanted, upgrade, finding, takes","due, quicker, strange",direction,gps,NEGATIVE,"I have Garmin 200W and wanted to upgrade to 1300 due to finding sats quicker and that part works, but this GPS takes you in very very   strange direction  .  "
direction the unit give you is wrong,"give, is",wrong,direction,gps,NEGATIVE,The   direction the unit give you is wrong  .  
direction some time is not correct,"is, navigate","correct, longer, unsuitable",direction,gps,NEGATIVE,The   direction some time is not correct   or navigate longer and unsuitable way.  
wrong direction,"calculate, highlight, needed, walk, start, walking, dot, represents, move, was, find, went","normal, current, more, good, wrong",direction,gps,NEGATIVE,"When I would type in a destination, it would calculate my route then highlight the route I needed to walk like normal, but when I start walking, the dot that represents my current location would not move until I was a block or more into my route (not good when it finally ""catches up"" and you find out you went a block in the   wrong direction  ).  "
wrong direction,had,"southern, least, wrong",direction,gps,NEGATIVE,In southern Georgia and Florida I had at least 85   wrong direction  .  
wrong direction,"begin, tell, gave","many, wrong",direction,gps,NEGATIVE,Cant even begin to tell you how many times it gave us   wrong direction  .  
direction it shut off,"directed, was, needed, shut","unfamiliar, next",direction,gps,NEGATIVE,My gps directed me through a neighborhood I was completely unfamiliar with and when I needed the next   direction it shut off  .  
byzantine direction,"got, took, knew, froze","byzantine, direct, several",direction,gps,POSITIVE,"I got the most   byzantine direction  , and when I took the most direct route I already knew, the thing just froze for several minutes.  "
crazy direction,"did, take, died, got","crazy, wrong",direction,gps,NEGATIVE,"Not only did it take me in all kinds of   crazy direction   and in the wrong place, it totally died on me only 6 weeks after I got it.  "
not take me in the right direction,"changed, did, take",right,direction,gps,NEGATIVE,I changed settings on it and still it did   not take me in the right direction   on a number of occasions.  
direction actually told me to turn the wrong way,"told, turn","wrong, oneway, separate",direction,gps,NEGATIVE,* In Baltimore the   direction actually told me to turn the wrong way   onto a oneway street on two separate occasions.  
direction too far in advance,"locate, give, turn, was","plain, wrong, many",direction,gps,NEGATIVE,"Took forever to locate Satellites, would give turn   direction too far in advance  , and was just plain wrong on many occasions.  "
worst sense of direction,"think, bought, has, being, ve, met","worst, human",direction,gps,NEGATIVE,"I think I bought it in August 2008 for my wife, who has the   worst sense of direction   of any human being Ive ever met.  "
direction where really weird,was,"okay, weird",direction,gps,NEGATIVE,It was okay but the   direction where really weird  .  
wrong direction,gave,"past, separate, wrong",direction,gps,NEGATIVE,Over the past week the unit on 2 separate gave the   wrong direction  .  
slow to update direction,update,slow,direction,gps,NEGATIVE,Very   slow to update direction  .  
wrong direction,find,"Such, wrong, wrong",direction,gps,NEGATIVE,"Such as ""cant find the location"",   wrong direction  , wrong street names.  "
cannot see or hear the direction,"needs, recharging, are, driving, see, hear, do, get",visual,direction,gps,NEGATIVE,"Secondly, if the Garmin needs recharging (while you are driving) you   cannot see or hear the direction   nor do you get visual.  "
direction a little complicated,"found, compared, figured, worked","little, complicated",direction,gps,NEGATIVE,I found the   direction a little complicated   compared to my unit in the car but when I figured it out it worked fine.  
wrong direction,"count, was, telling, turn",wrong,direction,gps,NEGATIVE,But I could still count on the voice except when it was telling me the   wrong direction   to turn.  
opposite direction,"tested, traveling, familiarized, kept, instructing, make, have, been, going",opposite,direction,gps,NEGATIVE,"In addition, I tested it out while traveling to a location that I familiarized myself with and it kept instructing me to make uturns and travel in   opposite direction   of where I should have been going.  "
direction were wrong,"were, take","wrong, few, shorter, shorter",direction,gps,NEGATIVE,"The   direction were wrong   a few times, instead of shorter distance it would take me through shorter time etc.  "
start speaking direction,"s, is, blinding, is, is, washed, Allow, design, allow, move, exclude, change, assist, works, use, exist, Keep, assist, allow, bring, start, speaking, re, driving, have, turn, have, use, detect, amplify, flash, speaking, get, turn, Allow, get, autodetects, need, allow, suggested, Put, Put, mount, boost","bright, good, font, greater, upper, full, loud, sound, more, downfield, first, rechargeable",direction,gps,POSITIVE,"whats bright enough for the day, is blinding at night; what is good at night is washed out during the day > Allow myGarmin part of the website to design the interface  allow me to move items around, exclude them, or change font sizestypes for greater readability > Change the way lane assist (in the upper left) works  use the lanes that exist 12 miles before the exit, not the number of lanes in the exit > Keep the lane assist (full screen) pop up on the screen longer  or allow voice activation to bring it back > The unit will just   start speaking direction   with no warning  if youre driving with the radio on, you have no chance to turn it down  have the Garmin use the speaker as a microphone to detect the loud sound condition and amplify the speaker (andor flash the screen 3 times before speaking to get your attention so you can turn the radio down) > Allow use of unit in portrait mode, not just landscape so you get more downfield view of the route > Offer an accelerometer that autodetects rotation from landscape to portrait (need to first allow use of portrait orientation as suggested above) > Put a distance scale on the screen > Put a rechargeable battery pack into the friction mount to boost the longevity of the GPS unit!  "
different direction,"drive, theres, sends","same, different",direction,gps,POSITIVE,I drive to the same location every Saturday morning when theres no traffic and the Garmin sends me in   different direction   each time.  
changed the direction,"used, changed, mid",last,direction,gps,NEGATIVE,"Since then, the last two times I used it, the GPS   changed the direction   mid route.  "
direction screen missing,"routing, advertised, missing","Most, frustrating, poor, poor, slow, incorrect, unstable, slow, frequent, low, poor, shorter, competent, slow, poor",direction,gps,NEGATIVE,"Most frustrating characteristics: poor satellite reception, poor positioning accuracy, slow satellite lock, incorrect routing, unstable and slow browser, frequent system lockup, low speaker volume, poor camera quality, shorter than advertised battery life, no competent tech support, no software support, slow startup, route turnbyturn   direction screen missing  , and very poor screen contrast in daylight.  "
direction it gives are bizarre,"gives, are",bizarre,direction,gps,NEGATIVE,The   direction it gives are bizarre  .  
no direction,"is, use",easier,direction,gps,NEGATIVE,"It is by far easier to use a map, a printout or   no direction   at all.  "
wrong direction,"shut, give",wrong,direction,gps,NEGATIVE,"This gps will shut off on you, and give   wrong direction  , before the software fix.  "
direction were totally incorrect,were,incorrect,direction,gps,NEGATIVE,The   direction were totally incorrect  .  
complicated direction,"are, looking, advise, get, is, am, finding","complicated, smaller, better, sure",direction,gps,NEGATIVE,"If you are looking for   complicated direction   in a smaller state, i would advise you to get a better one (not sure which that one is and I am still finding out.  "
circuitous direction,"does, provide, routing, going, is, locate","inaccurate, wrong, circuitous, unable",direction,gps,NEGATIVE,"Not only does it provide inaccurate routing, often times onto 1 way roads going the wrong way, and extremely   circuitous direction  , but it is also unable to locate streetsroads.  "
direction were miserable,"were, updated, experimented, was, were",miserable,direction,gps,NEGATIVE,"My maps were completely updated and I experimented with every permutation there was, and still the   direction were miserable  .  "
direction that were nothing short of bizarre,"o, gave, routing, were","important, least, several, short, bizarre",direction,gps,NEGATIVE,"Cons (most important to least): o Trouble with direction: within two weeks, it gave several routing   direction that were nothing short of bizarre  .  "
poor direction,were,"poor, shorter, faster",direction,gps,NEGATIVE,The   poor direction   were neither shorter nor faster to the destinations.  
erroneous direction,"is, have, found, give","only, erroneous",direction,gps,NEGATIVE,Our only concern is that we have found on occasion the Garmin will give us totally   erroneous direction  .  
wrong direction,"kept, giving, allow, view, keeps",wrong,direction,gps,NEGATIVE,It kept giving me   wrong direction   and didnt even allow me to view the map because the touch screen keeps freezing.  
wrong direction,"sends, recalculates",wrong,direction,gps,NEGATIVE,This GPS sends me in the   wrong direction   (constantly) and rarely recalculates.  
direction are totally wrong,"are, are","satistactory, accurate, wrong",direction,gps,NEGATIVE,"Not only that, the road maps are satistactory accurate, but GPS and voice   direction are totally wrong  !  "
wrong direction,"was, testing, gives","past, few, different, wrong",direction,gps,NEGATIVE,"I was testing it for the past few days, with different settings, Fast, Shortest, but still, it gives   wrong direction  .  "
dont show the proper direction,"starting, do, show, are","proper, outofsync, verbal",direction,gps,NEGATIVE,(4) When first starting out the display lines   dont show the proper direction   and are often outofsync with the verbal instructions.  
opposite direction,"be, went, instruct, go","mere, opposite",direction,gps,NEGATIVE,I could be a mere four blocks away from the entrance to a highway that went directly to my destination and the GPS would instruct me to go in the   opposite direction  .  
illogical in its direction,"s, s","useless, stupid, illogical",direction,gps,NEGATIVE,"its totally useless, and extremely stupid and   illogical in its direction   and recommendations to the user.  "
clutter the screen,"am, is, is, turn, offers, turning",happy,screen,gps,POSITIVE,"What I am not happy with is that there is no way to turn off the advertising ""offers"" that   clutter the screen   without turning off the traffic information completely.  "
screen seemed small,"seemed, see, Connecting, was","small, difficult, impossible",screen,gps,NEGATIVE,The   screen seemed small   and difficult to see Connecting to WiFi was near impossible.  
screen is very hazy,"is, dont, know, are, going, have, say, is, is","great, only, negative, hazy",screen,gps,NEGATIVE,"This product is great if you dont know where you are going, the only negative thing i have to say is the touch   screen is very hazy  .  "
touchscreen reacts unpredictably,moves,"Other, larger, wrong, touchscreen, worse, older",screen,gps,NEGATIVE,"Other than a larger screen, this device moves in the wrong direction:  the   touchscreen reacts unpredictably  , much worse than older Nuvis.  "
screen off in unpredictable directions,"does, track","deliberate, spinning, unpredictable",screen,gps,POSITIVE,"It doesnt track the finger well at all, no matter how deliberate the gesture, often spinning the   screen off in unpredictable directions  .  "
clobbers the entire middle of the screen,"pops, clobbers, want, see","single, large, entire",screen,gps,NEGATIVE,"On a single touch, or sometimes with a ""drag"", it pops up a large detail balloon that   clobbers the entire middle of the screen  , exactly where you most want to see something.  "
screen on this device literally cracked,"withstand, cracked, slid","significant, front",screen,gps,NEGATIVE,"But while phone touch screens withstand significant pressure, the   screen on this device literally cracked   when the phone slid from my front pocket down under my car seat.  "
poor touchscreen response,"acquires, assist, turn","large, uptodate, poor, touchscreen",screen,gps,NEGATIVE,Pluses  large screen size   uptodate points of interest   acquires satellites signals quickly   lane assist option Minuses    poor touchscreen response     can turn off entirely in the middle of a route!  
screen just isnt very responsive,is,responsive,screen,gps,NEGATIVE,"The touch   screen just isnt very responsive  , even after calibration.  "
broken screen,"found, bought, installed","old, broken, ebay, old",screen,gps,NEGATIVE,"I found my old Nuvi 680 unit with the   broken screen  , bought the screen on ebay for 10 and installed on my old unit.  "
Touchscreen is poor,"is, control",poor,screen,gps,NEGATIVE,    Touchscreen is poor  cannot control items very well with the touchscreen.  
screen is displaying something totally irrelevant,"shuts, giving, is, displaying, starts, giving","irrelevant, wrong",screen,gps,NEGATIVE,"It shuts off in the middle of giving me directions and when I power it back on, the Garmin   screen is displaying something totally irrelevant   and starts giving me wrong directions.  "
screen is very limited,"displayed, is, compared, have, seen","last, limited, other",screen,gps,NEGATIVE,One last thing:  The amount of information displayed on the map   screen is very limited   compared to other GPSs I have seen.  
screen went black,"ran, warning, went","low, black",screen,gps,NEGATIVE,"Once in Miami, the battery ran low & without warning the   screen went black  .  "
screen froze up,"froze, was, use, returned",impossible,screen,gps,NEGATIVE,"Finally, after 3 months of use the touch   screen froze up   and it was impossible to use and I returned it.  "
screen isnt that responsive,"is, is",responsive,screen,gps,NEGATIVE,"In addition, sometimes the touch   screen isnt that responsive  , which is a bit annoying.  "
screen size is a little on the small size,is,"little, small",screen,gps,NEGATIVE,3) The   screen size is a little on the small size  .  
black screen of death,"had, receiving",black,screen,gps,NEGATIVE,It just had a   black screen of death   sometimes when receiving calls.  
touchscreen froze up,"was, froze, became, pair","worse, electronic, distorted",screen,gps,NEGATIVE,"The second was much worse    touchscreen froze up   at times, electronic voice became distorted at times, phone wouldnt pair right.  "
black screen,"tried, turn, got, was",black,screen,gps,NEGATIVE,While out of town on business I tried to turn it on and all I got was a   black screen   with the word Garmin.  
screen is too small,"is, is, view",small,screen,gps,NEGATIVE,"Web browser is Ok, but   screen is too small   to view the web pages.  "
screen became unresponsive,became,unresponsive,screen,gps,NEGATIVE,The touch   screen became unresponsive  .  
screens that are useless,"wastes, are, are, select, do, press, Start","useless, splash, other",screen,gps,NEGATIVE,"And the GPS often wastes your time with   screens that are useless    these are the equivalent of ""splash screens"" after you select a waypoint, that do nothing other than force you to press another ""Start"" button.  "
screen dont show more map area,"do, show, opposed","Big, more",screen,gps,NEGATIVE,"Big   screen dont show more map area  , as opposed to 4.  "
problem with the touch screen,"did, see, needed, install, s, found, bought, were, having, known","other, same",screen,gps,NEGATIVE,i then did a google search to see if maybe i needed to install a driver or something  thats when i found out that a lot of other people who bought this gps were having the same   problem with the touch screen   with no known solution.  
screen does not work,"does, work, recommend, is, noticed, has, is, does, have, gives, walking","similar, only, good, pedestrian",screen,gps,NEGATIVE,"because the   screen does not work  , i will instead recommend the garmin nuvi 50 which is very similar to this one  the only difference i noticed (aside from the fact that the screen has a very good touch response) is that it does not have pedestrian mode which gives the walking directions.  "
touchscreen became erratic,became,"few, erratic",screen,gps,NEGATIVE,"(2)  After a few months of use, the   touchscreen became erratic  .  "
screens will not recognized a touch,recognized,Certain,screen,gps,NEGATIVE,Certain   screens will not recognized a touch  .  
screen is not very sensitive,is,sensitive,screen,gps,NEGATIVE,but the touch   screen is not very sensitive  .  
screen isnt quite as sensitive,"is, like, requires, push, expect","sensitive, harder, rough, destructive",screen,gps,NEGATIVE,"The Bad:  The touch   screen isnt quite as sensitive   as I would like, which requires you to push far harder than I would normally expect, but certainly not to the point of feeling ""rough"" or destructive.  "
screens is HORRIBLE,"is, scrolling, is, shut, happened, needed, got, lost, is","mid, estimated",screen,gps,NEGATIVE,"The traffic is usually off, scrolling through the map   screens is HORRIBLE  , the GPS will just shut off in mid route (happened when we really needed directions in a city and thus got lost) and the estimated time is off by 1 hr.  "
screen freezes,"warned, freezes, exceeds",manual,screen,gps,NEGATIVE,The manual warned about   screen freezes   and the unit certainly exceeds at that.  
small touchscreen,"have, made, s",small,screen,gps,NEGATIVE,But I must have made a typo  thats a lot of letters on a   small touchscreen  !  
problem with the large screen,be,large,screen,gps,NEGATIVE,This might be a   problem with the large screen  .  
screen is very small,"does, have, is","old, small",screen,gps,NEGATIVE,"My old TomTom doesnt have this problem, but the   screen is very small  .  "
screen is pretty much permanently melted,"is, melted",much,screen,gps,NEGATIVE,One part of my   screen is pretty much permanently melted  .  
damaged screen,"is, look, damaged","horrible, due",screen,gps,NEGATIVE,"My unit is horrible to look at now (due to the   damaged screen  , not the snot.  "
screen is unreliable,is,"unreliable, spotty",screen,gps,NEGATIVE,The touch   screen is unreliable   and spotty.  
screen went to very low contrast,"have, listed, worked, went, went","same, low, back",screen,gps,NEGATIVE,"I have the same problem as a customer listed previously  The Nuvi 350 worked fine out of the box, but soon afterward the   screen went to very low contrast   as though the back lighting went out.  "
screen turned grey,"turned, navigating",gray,screen,gps,NEGATIVE,"Finally, the   screen turned grey   while still navigating.  "
screen is at best erratic,"seems, acquire, is","slower, best, erratic",screen,gps,NEGATIVE,The 1350 seems to acquire satellites slower than the 660 and the touch   screen is at best erratic  .  
unresponsive to the touch screen,becomes,unresponsive,screen,gps,NEGATIVE,Sometimes it becomes   unresponsive to the touch screen  .  
touchscreen was not working,"bought, was, showing, lost, is, was, stopped, working, was, working, is","poor, second, expensive",screen,gps,NEGATIVE,"Hi, I bought it 2 months back and within month it was showing me poor or lost satellite reception all the time, this is my second Garmin GPS, first one was stopped working as my   touchscreen was not working   so now it is expensive paper weight.  "
screen is horrible,is,"horrible, useless",screen,gps,NEGATIVE,"However its touch   screen is horrible  , basically useless.  "
touchscreen is unresponsive,"is, requires, is","unresponsive, deliberate, unresponsive, lower",screen,gps,NEGATIVE,"The   touchscreen is unresponsive   and requires deliberate keystrokes, mine is particularly unresponsive on the right lower corner.  "
screen lags,"lags, asked, turn",private,screen,gps,NEGATIVE,The   screen lags   and it literally asked us turn around in a private driveway.  
touchscreen is so frustrating,"Interacting, is, ve, given, using","frustrating, more, less",screen,gps,NEGATIVE,Interacting with the   touchscreen is so frustrating   that Ive more or less given up on using this device.  
screen black,"turned, discover, rendering","third, black, unusable",screen,gps,NEGATIVE,"I turned the unit on at the beginning of a 10 day roadtrip to discover one third of the   screen black  , rendering the unit unusable.  "
LESS info is shown per screen,"having, is, shown, requiring, like, look, w, traveled, go, traveled, sitting, moving","bigger, MORE, smaller",screen,gps,NEGATIVE,"Also while having a bigger screen,   LESS info is shown per screen   requiring MORE scrolling than the smaller unit as I like to look at the ""data"" screen w miles traveled, miles to go, time traveled, time sitting, moving, etc.  "
touchscreen for the address input is terrible,"is, is, requiring, connect","first, terrible, numerous",screen,gps,NEGATIVE,"The Nuvi 1350 is my first problem Garmin the alphabet   touchscreen for the address input is terrible  , requiring numerous touches to connect.  "
unresponsive touch screen,"stopped, worked, gave, went, bought","earlier, fine, due, unresponsive",screen,gps,NEGATIVE,"After my earlier Garmin Nuvi 650 stopped worked one fine day due to   unresponsive touch screen  , I gave the benefit of doubt to Garmin and went ahead and bought this replacement Nuvi 295W.  "
screen suddenly went whitishgray,"was, using, went, locks",whitishgray,screen,gps,NEGATIVE,Twice now while I was using the unit the   screen suddenly went whitishgray   and locks up.  
screens are nonintuitive,"are, needs","nonintuitive, physical, handheld, soft",screen,gps,NEGATIVE,7) Some   screens are nonintuitive   and it needs more buttons (either physical ones like the handheld units or soft ones on the touchscreen).  
screen on that one just stopped responding,"was, stopped, responding","old, reliable",screen,gps,NEGATIVE,""" All in all, my old Garmin was more reliable than this one, but unfortunately the   screen on that one just stopped responding  .  "
screen went dead,"turned, took, went, turn, being, charged",dead,screen,gps,NEGATIVE,It turned on when I first took it out of the box and then the   screen went dead   and it wouldnt turn on even after being charged.  
screen was difficult to use,"was, use",difficult,screen,gps,NEGATIVE,The touch   screen was difficult to use  .  
screen froze,"died, froze",first,screen,gps,NEGATIVE,The first one died (  screen froze   over and over) within a couple of weeks.  
screen randomly goes black,"annoying, is, re, driving, goes, re, appears, reboots","black, lucky",screen,gps,NEGATIVE,"Also annoying is youre driving along and ""poof"" the   screen randomly goes black  , and if youre lucky, the garmin logo appears, and the GPS reboots itself.  "
screen went black,went,black,screen,gps,NEGATIVE,Finally the   screen went black   after 14 months of use.  
froze on the opening screen,froze,first,screen,gps,NEGATIVE,"The first one, a 1390T   froze on the opening screen  .  "
problem was with the screen,was,"other, main, multitouch",screen,gps,NEGATIVE,My other main   problem was with the screen   touch sensitivity and multitouch.  
screen display often jumped,"attempting, was, jumped, was, pointing",terrible,screen,gps,NEGATIVE,And attempting a two finger zoom was terrible and the   screen display often jumped   somewhere else that I was pointing.  
touchscreen is so fragile,"am, disappointed, is, is, cracked, push",fragile,screen,gps,NEGATIVE,I am very disappointed with my garmin 1450 GPS whose   touchscreen is so fragile   and unbelieveably it is cracked when I push the poweroff button.  
cracked screen,"believe, is, looked, cracked",true,screen,gps,NEGATIVE,"I cannot believe it is true when I looked at this ""spider web"" of   cracked screen  .  "
screen damage,"am, refused, repair, giving, is","oneyear, garmine, stupid",screen,gps,NEGATIVE,"To my most disappointment, I am still in a oneyear warranty, however, garmine company refused to repair it by giving a stupid reason that my   screen damage   is out of range of their warranty.  "
Lack of responsiveness of the touchscreen,is,"significant, negative",screen,gps,NEGATIVE,  Lack of responsiveness of the touchscreen   is a significant negative feature.  
screen makes this unit less than perfect,"is, included, makes","small, less, perfect",screen,gps,NEGATIVE,"Garmin accuracy and audio is included, but a small   screen makes this unit less than perfect  .  "
screen makes net surfing a misery,makes,"small, net",screen,gps,NEGATIVE,The small   screen makes net surfing a misery  .  
screen is terribly unresponsive,"do, know, s, is","productwide, unresponsive",screen,gps,NEGATIVE,"I dont know if its just my unit or a productwide problem, but the touch   screen is terribly unresponsive  .  "
touchscreen is not sensitive,"loses, s, dies, is, recognize, goes","wrong, sensitive",screen,gps,NEGATIVE,"It loses connection with satellite, theres delays in directions, wrong signals, no warning before battery dies,   touchscreen is not sensitive   enough to recognize input, and the list goes on and on.  "
screen contrast really sucks,sucks,Bad,screen,gps,NEGATIVE,Bad: The   screen contrast really sucks  .  
crappy screen,"do, think, s","such, crappy",screen,gps,NEGATIVE,However I still dont think theres an excuse for such a   crappy screen  .  
screen was burning out,"had, loved, had, thought, was, burning, took, was, given, took, registered, did","old, white, current, current",screen,gps,NEGATIVE,"I had an insurance policy on my old Garmin 765T through Bestbuy which I loved, but the pixels in the screen I had a white straightline, and thought the   screen was burning out  , so I took the 765T back to Bestbuy and was given the Garmin 2360 LMT, took it home, registered the product and did the current down loads, and current maps.  "
